,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,106199524.364076,88005825.728917,36425085.821236,37486808.227301,
Tax Rate For Calcs,0.199519,0.243163,0.259172,0.268042,
Normalized EBITDA,3054629000.0,3248816000.0,3091430000.0,2325219000.0,
Total Unusual Items,532277000.0,361921000.0,140544000.0,139854000.0,
Total Unusual Items Excluding Goodwill,532277000.0,361921000.0,140544000.0,139854000.0,
Net Income From Continuing Operation Net Minority Interest,2464799000.0,2390018000.0,2094048000.0,1510958000.0,
Reconciled Depreciation,406569000.0,365483000.0,326074000.0,324074000.0,
Reconciled Cost Of Revenue,9119083000.0,8827870000.0,8246383000.0,6835842000.0,
EBITDA,3586906000.0,3610737000.0,3231974000.0,2465073000.0,
EBIT,3180337000.0,3245254000.0,2905900000.0,2140999000.0,
Net Interest Income,-38511000.0,-20345000.0,-31290000.0,-20252000.0,
Interest Expense,73324000.0,56756000.0,57048000.0,51468000.0,
Interest Income,36402000.0,37863000.0,29193000.0,32563000.0,
Normalized Income,2038721524.364076,2116102825.728917,1989929085.821236,1408590808.227301,
Net Income From Continuing And Discontinued Operation,2464799000.0,2390018000.0,2094048000.0,1510958000.0,
Total Expenses,16252774000.0,15826679000.0,15266666000.0,12453785000.0,
Rent Expense Supplemental,72068000.0,71104000.0,45702000.0,14396000.0,
Diluted Average Shares,12945623.0,13005874.0,13005874.0,13005874.0,
Basic Average Shares,12945623.0,13005874.0,13005874.0,13005874.0,
Diluted EPS,190.4,183.76,161.01,116.18,
Basic EPS,190.4,183.76,161.01,116.18,
Diluted NI Availto Com Stockholders,2464799000.0,2390018000.0,2094048000.0,1510958000.0,
Net Income Common Stockholders,2464799000.0,2390018000.0,2094048000.0,1510958000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,2464799000.0,2390018000.0,2094048000.0,1510958000.0,
Minority Interests,-22305000.0,-23155000.0,-16461000.0,-18566000.0,
Net Income Including Noncontrolling Interests,2487104000.0,2413173000.0,2110509000.0,1529524000.0,
Net Income Discontinuous Operations,,,0.0,0.0,0.0
Net Income Continuous Operations,2487104000.0,2413173000.0,2110509000.0,1529448000.0,
Tax Provision,619909000.0,775325000.0,738343000.0,560083000.0,
Pretax Income,3107013000.0,3188498000.0,2848852000.0,2089531000.0,
Other Non Operating Income Expenses,1828000.0,9028000.0,1357000.0,1956000.0,
Special Income Charges,-20119000.0,-157935000.0,-102875000.0,-42615000.0,
Other Special Charges,-1658000.0,-18636000.0,-1986000.0,42615000.0,
Write Off,21777000.0,176571000.0,104861000.0,0.0,
Net Non Operating Interest Income Expense,-38511000.0,-20345000.0,-31290000.0,-20252000.0,
Total Other Finance Cost,1589000.0,1452000.0,3435000.0,1347000.0,
Interest Expense Non Operating,73324000.0,56756000.0,57048000.0,51468000.0,
Interest Income Non Operating,36402000.0,37863000.0,29193000.0,32563000.0,
Operating Income,2612085000.0,2838199000.0,2737504000.0,1967499000.0,
Operating Expense,7133691000.0,6998809000.0,7020283000.0,5617943000.0,
Other Operating Expenses,1348070000.0,1268505000.0,1782379000.0,1377180000.0,
Depreciation And Amortization In Income Statement,406569000.0,365483000.0,326074000.0,324074000.0,
Amortization,8893000.0,3065000.0,2606000.0,4235000.0,
Depreciation Income Statement,397676000.0,362418000.0,323468000.0,319839000.0,
Research And Development,18205000.0,14995000.0,14559000.0,18894000.0,
Selling General And Administration,2877631000.0,3013245000.0,2728832000.0,1951018000.0,
Selling And Marketing Expense,2793882000.0,2863799000.0,2567969000.0,1814785000.0,
General And Administrative Expense,83749000.0,149446000.0,160863000.0,136233000.0,
Rent And Landing Fees,72068000.0,71104000.0,45702000.0,14396000.0,
Gross Profit,9745776000.0,9837008000.0,9757787000.0,7585442000.0,
Cost Of Revenue,9119083000.0,8827870000.0,8246383000.0,6835842000.0,
Total Revenue,18864859000.0,18664878000.0,18004170000.0,14421284000.0,
Operating Revenue,18864859000.0,18664878000.0,18004170000.0,14421284000.0,
